Date,Postcode,Latitude,Longitude,Email,First Name,Last Name,Interaction,Sector
2024-11-13,GL56,51.98836,-1.70435,hector.conklin@gmail.com,Hector,Conklin,Networking Event,Software Engineering
2024-08-28,EC2N,51.51631,-0.08586,donna.walsh@gmail.com,Donna,Walsh,Networking Event,Data Science
2024-01-06,BA15,51.35088,-2.26425,olga.gonzales@gmail.com,Olga,Gonzales,Networking Event,Finance
2024-09-07,GL20,52.00304,-2.12966,eleanor.perkins@gmail.com,Eleanor,Perkins,Workshop,Education
2024-05-21,LS29,53.92058,-1.80356,richard.cabanilla@gmail.com,Richard,Cabanilla,Email Correspondence,B2B Marketing
2024-11-27,LN12,53.3293,0.2662,carl.born@gmail.com,Carl,Born,Workshop,Software Engineering
2024-06-11,BT42,54.85458,-6.28215,joan.green@gmail.com,Joan,Green,Networking Event,Education
2024-10-23,M13,53.4603,-2.21389,kim.revell@gmail.com,Kim,Revell,Email Correspondence,Software Engineering
2024-11-17,NE61,55.18045,-1.68905,tammy.daniels@gmail.com,Tammy,Daniels,Email Correspondence,Software Engineering
2024-05-23,SA63,51.87409,-4.85342,scott.ford@gmail.com,Scott,Ford,Webinar,Finance
2024-03-08,IV40,57.27446,-5.64981,cheryl.duran@gmail.com,Cheryl,Duran,Email Correspondence,B2B Marketing
2024-12-11,EX10,50.69252,-3.24461,michael.weaver@gmail.com,Michael,Weaver,1-2-1 Conversation,Education
2024-07-09,B1,52.47872,-1.90723,leroy.baker@gmail.com,Leroy,Baker,1-2-1 Conversation,Healthcare
2024-03-07,SW1E,51.49737,-0.13853,felicia.hall@gmail.com,Felicia,Hall,Networking Event,B2B Marketing
2024-10-22,NN29,52.2599,-0.66362,james.rose@gmail.com,James,Rose,Webinar,Data Science
2024-03-02,FY2,53.84524,-3.03823,steven.milliken@gmail.com,Steven,Milliken,Webinar,Finance
2024-06-08,NP7,51.82884,-3.00864,ruth.schneider@gmail.com,Ruth,Schneider,Workshop,Education
2024-02-03,PO4,50.78983,-1.06213,daniel.burman@gmail.com,Daniel,Burman,1-2-1 Conversation,Healthcare
2024-04-11,ST17,52.7889,-2.09936,maria.ellis@gmail.com,Maria,Ellis,1-2-1 Conversation,Data Science
2024-08-30,SW6,51.47675,-0.19986,angelina.sack@gmail.com,Angelina,Sack,Webinar,Data Science
2024-09-12,E14,51.5062,-0.01855,frances.youngblood@gmail.com,Frances,Youngblood,Networking Event,B2B Marketing
2024-06-13,HU6,53.7811,-0.36834,heather.lynch@gmail.com,Heather,Lynch,1-2-1 Conversation,Finance
2024-02-12,LL69,53.38583,-4.31883,joseph.lopez@gmail.com,Joseph,Lopez,Workshop,Finance
2024-08-13,SW1Y,51.50539,-0.13388,christine.lopez@gmail.com,Christine,Lopez,Workshop,Finance
2024-03-29,DN19,53.68387,-0.35847,jeffrey.toenges@gmail.com,Jeffrey,Toenges,Workshop,Finance
2024-11-08,AB38,57.48589,-3.2261,tom.bown@gmail.com,Tom,Bown,Workshop,Education
2024-07-21,BT45,54.76045,-6.63935,michelle.pellicone@gmail.com,Michelle,Pellicone,Networking Event,Finance
2024-12-18,TR8,50.39869,-5.03689,helen.bartlett@gmail.com,Helen,Bartlett,1-2-1 Conversation,Education
2024-03-10,S75,53.56201,-1.51985,rod.rogers@gmail.com,Rod,Rogers,Workshop,Education
2024-02-02,WV10,52.61716,-2.11227,latasha.crain@gmail.com,Latasha,Crain,1-2-1 Conversation,Finance
2024-09-26,BD10,53.83143,-1.72496,sondra.cosgrove@gmail.com,Sondra,Cosgrove,Email Correspondence,Education
2024-04-18,MK16,52.08879,-0.72129,michael.terry@gmail.com,Michael,Terry,Workshop,Data Science
2024-12-04,HU13,53.72446,-0.43572,winston.amabile@gmail.com,Winston,Amabile,Email Correspondence,Education
2024-07-10,BD23,53.99264,-2.05339,bobby.june@gmail.com,Bobby,June,Networking Event,Finance
2024-01-01,PE33,52.64814,0.46886,hoa.giesen@gmail.com,Hoa,Giesen,Networking Event,B2B Marketing
2024-05-19,GU46,51.3372,-0.82559,david.ponder@gmail.com,David,Ponder,1-2-1 Conversation,Education
2024-04-17,NR1,52.62671,1.31012,herman.bibbs@gmail.com,Herman,Bibbs,Networking Event,Data Science
2024-08-20,NG25,53.07294,-0.95506,joseph.skiver@gmail.com,Joseph,Skiver,1-2-1 Conversation,Finance
2024-05-25,NE35,54.95227,-1.4597,james.hart@gmail.com,James,Hart,1-2-1 Conversation,Healthcare
2024-01-18,GU2,51.24468,-0.59152,lois.davis@gmail.com,Lois,Davis,Workshop,Software Engineering
2024-09-07,SN5,51.56509,-1.83696,dave.williams@gmail.com,Dave,Williams,1-2-1 Conversation,Data Science
2024-07-10,L70,53.40891,-2.9704,dennis.luciano@gmail.com,Dennis,Luciano,Email Correspondence,Healthcare
2024-09-09,TA17,50.90753,-2.83497,horace.hollenbeck@gmail.com,Horace,Hollenbeck,1-2-1 Conversation,Education
2024-05-17,PR1,53.75779,-2.70082,billy.booker@gmail.com,Billy,Booker,Workshop,Data Science
2024-04-12,DD1,56.4611,-2.97702,jose.groves@gmail.com,Jose,Groves,Workshop,Healthcare
2024-09-24,PA24,56.15675,-4.90504,gladys.greer@gmail.com,Gladys,Greer,Networking Event,B2B Marketing
2024-02-10,EX18,50.90155,-3.88739,danny.wolf@gmail.com,Danny,Wolf,Networking Event,Finance
2024-04-29,YO18,54.2587,-0.76717,crystal.ridings@gmail.com,Crystal,Ridings,Webinar,B2B Marketing
2024-08-24,LE1,52.63379,-1.12812,kenneth.walling@gmail.com,Kenneth,Walling,Webinar,Education
2024-10-16,M24,53.55113,-2.19624,beth.call@gmail.com,Beth,Call,1-2-1 Conversation,B2B Marketing
2024-05-30,KT6,51.3892,-0.2996,ivonne.mcalister@gmail.com,Ivonne,Mcalister,Networking Event,Healthcare
2024-06-29,HA6,51.61032,-0.41991,tasha.simmons@gmail.com,Tasha,Simmons,Networking Event,Finance
2024-03-11,DT6,50.73886,-2.77528,lawrence.mcgloin@gmail.com,Lawrence,Mcgloin,1-2-1 Conversation,Education
2024-12-02,LA17,54.2386,-3.17545,michael.laino@gmail.com,Michael,Laino,1-2-1 Conversation,Data Science
2024-02-15,NE22,55.1361,-1.58428,james.johnson@gmail.com,James,Johnson,Workshop,B2B Marketing
2024-11-18,CH62,53.33421,-2.98072,charlotte.yoon@gmail.com,Charlotte,Yoon,Workshop,B2B Marketing
2024-04-07,BS6,51.47015,-2.59898,roger.willis@gmail.com,Roger,Willis,Webinar,Finance
2024-12-17,ST19,52.71243,-2.14656,suzanne.bush@gmail.com,Suzanne,Bush,Webinar,Finance
2024-05-19,CR5,51.31211,-0.13886,annette.seidel@gmail.com,Annette,Seidel,Workshop,Healthcare
2024-02-13,TW12,51.42166,-0.36888,jesse.george@gmail.com,Jesse,George,Email Correspondence,Healthcare
2024-07-12,TN11,51.20597,0.26922,aldo.mapston@gmail.com,Aldo,Mapston,Networking Event,Healthcare
2024-12-23,IP1,52.06644,1.14151,sidney.paterson@gmail.com,Sidney,Paterson,Networking Event,B2B Marketing
2024-02-11,SA15,51.69989,-4.16648,teresa.wofford@gmail.com,Teresa,Wofford,1-2-1 Conversation,Healthcare
2024-05-02,PL35,50.68444,-4.68431,justin.olivares@gmail.com,Justin,Olivares,Workshop,Healthcare
2024-01-16,TF4,52.66125,-2.46726,gladys.hooper@gmail.com,Gladys,Hooper,1-2-1 Conversation,Data Science
2024-06-29,DN14,53.70747,-0.93638,carl.powers@gmail.com,Carl,Powers,Email Correspondence,Healthcare
2024-12-31,CV1,52.40939,-1.506,christopher.cohn@gmail.com,Christopher,Cohn,Networking Event,Education
2024-09-29,BD12,53.74611,-1.76039,willie.hailey@gmail.com,Willie,Hailey,Workshop,Data Science
2024-10-12,DG2,55.06442,-3.65683,adrian.nichols@gmail.com,Adrian,Nichols,Email Correspondence,Data Science
2024-12-19,CO13,51.83802,1.23884,diana.schiffman@gmail.com,Diana,Schiffman,Networking Event,Education
2024-05-02,EH29,55.95652,-3.39838,roger.boley@gmail.com,Roger,Boley,Email Correspondence,Education
2024-02-05,DH4,54.85444,-1.4906,yvette.hirst@gmail.com,Yvette,Hirst,Email Correspondence,Healthcare
2024-04-24,FK17,56.24019,-4.21887,aundrea.vallejo@gmail.com,Aundrea,Vallejo,Networking Event,Data Science
2024-03-02,TF12,52.61175,-2.48003,kevin.chester@gmail.com,Kevin,Chester,1-2-1 Conversation,Data Science
2024-04-28,BB4,53.70376,-2.28936,john.delbosque@gmail.com,John,Delbosque,1-2-1 Conversation,Finance
2024-10-26,GL12,51.62482,-2.3843,sarah.wright@gmail.com,Sarah,Wright,Networking Event,Education
2024-08-22,NE28,55.00015,-1.51846,amber.avila@gmail.com,Amber,Avila,Email Correspondence,Healthcare
2024-08-08,NN13,52.0324,-1.14715,sharon.coleman@gmail.com,Sharon,Coleman,Email Correspondence,Finance
2024-06-04,HD6,53.70121,-1.78186,anna.paules@gmail.com,Anna,Paules,Email Correspondence,Healthcare
2024-11-01,BH14,50.72164,-1.94333,christopher.nixon@gmail.com,Christopher,Nixon,1-2-1 Conversation,Software Engineering
2024-01-02,LL20,52.95949,-3.15982,mathew.lepak@gmail.com,Mathew,Lepak,Networking Event,Data Science
2024-08-18,HU20,53.78836,-0.51229,raymond.calbert@gmail.com,Raymond,Calbert,Email Correspondence,Software Engineering
2024-05-24,BT56,55.19824,-6.64932,patricia.smith@gmail.com,Patricia,Smith,Networking Event,Software Engineering
2024-12-08,TA16,50.90693,-2.79229,james.smith@gmail.com,James,Smith,Networking Event,Data Science
2024-12-14,DN39,53.617,-0.33385,dan.stockdale@gmail.com,Dan,Stockdale,Email Correspondence,B2B Marketing
2024-08-07,EX3,50.68645,-3.45824,louis.schrecengost@gmail.com,Louis,Schrecengost,Email Correspondence,Finance
2024-10-19,LA7,54.22568,-2.77162,diana.hill@gmail.com,Diana,Hill,1-2-1 Conversation,Software Engineering
2024-09-21,S80,53.29205,-1.14928,stephanie.bristow@gmail.com,Stephanie,Bristow,Webinar,Data Science
2024-12-06,DG13,55.17291,-3.02849,eric.davis@gmail.com,Eric,Davis,Email Correspondence,Data Science
2024-10-05,NR13,52.63372,1.47327,dorthy.avenoso@gmail.com,Dorthy,Avenoso,1-2-1 Conversation,Data Science
2024-11-24,BT52,55.13423,-6.65285,bryan.chavez@gmail.com,Bryan,Chavez,Networking Event,Healthcare
2024-09-01,PO4,50.78983,-1.06213,travis.banda@gmail.com,Travis,Banda,Networking Event,Education
2024-11-10,TF9,52.8977,-2.46832,robin.smith@gmail.com,Robin,Smith,Webinar,Education
2024-06-30,RG12,51.40655,-0.74904,ellen.sprung@gmail.com,Ellen,Sprung,Workshop,Software Engineering
2024-10-25,DN22,53.32352,-0.92643,milissa.boyce@gmail.com,Milissa,Boyce,Workshop,Education
2024-05-10,GL10,51.7429,-2.28391,thomas.white@gmail.com,Thomas,White,Networking Event,Finance
2024-05-15,NG11,52.89934,-1.17335,scott.annis@gmail.com,Scott,Annis,Networking Event,B2B Marketing
2024-10-03,DT2,50.74955,-2.45365,donna.bennet@gmail.com,Donna,Bennet,Webinar,Data Science
2024-11-03,B47,52.38699,-1.8795,betty.jackson@gmail.com,Betty,Jackson,Networking Event,Data Science
2024-12-14,LL60,53.21505,-4.26915,lauretta.fields@gmail.com,Lauretta,Fields,Workshop,Education
2024-08-16,TS27,54.72309,-1.28728,randall.wadkins@gmail.com,Randall,Wadkins,Workshop,Healthcare
2024-04-21,LD8,52.26735,-3.04348,william.johnson@gmail.com,William,Johnson,Networking Event,Education
2024-05-03,L29,53.50679,-2.98319,diana.sanders@gmail.com,Diana,Sanders,Networking Event,Education
2024-06-05,SA9,51.78122,-3.76729,reginald.moran@gmail.com,Reginald,Moran,Webinar,Finance
2024-05-01,SA19,51.95284,-3.94723,mary.torres@gmail.com,Mary,Torres,Webinar,Finance
2024-07-22,WS13,52.6917,-1.818,ernest.ellis@gmail.com,Ernest,Ellis,Workshop,Software Engineering
2024-09-13,SA1,51.62742,-3.93905,theresa.holm@gmail.com,Theresa,Holm,1-2-1 Conversation,Education
2024-09-15,PH49,56.675,-5.10977,david.park@gmail.com,David,Park,Email Correspondence,B2B Marketing
2024-06-28,BN26,50.82098,0.22352,mike.crider@gmail.com,Mike,Crider,Email Correspondence,Finance
2024-11-10,KY5,56.14548,-3.29416,burton.erway@gmail.com,Burton,Erway,Webinar,Education
2024-12-30,L27,53.38744,-2.83758,marilyn.jones@gmail.com,Marilyn,Jones,1-2-1 Conversation,Finance
2024-08-24,CW11,53.1426,-2.36482,marina.treat@gmail.com,Marina,Treat,Email Correspondence,Healthcare
2024-06-21,TW2,51.44657,-0.34929,bridget.guyton@gmail.com,Bridget,Guyton,Networking Event,Software Engineering
2024-05-28,SY12,52.90335,-2.89364,raymond.suarez@gmail.com,Raymond,Suarez,Networking Event,Finance
2024-03-24,DA16,51.4644,0.10923,abbie.shepherd@gmail.com,Abbie,Shepherd,Webinar,Education
2024-11-17,ST8,53.11517,-2.16735,angela.overton@gmail.com,Angela,Overton,1-2-1 Conversation,B2B Marketing
2024-10-25,BN12,50.81354,-0.42423,mireya.olson@gmail.com,Mireya,Olson,Networking Event,Software Engineering
2024-11-09,NG3,52.96735,-1.12887,levi.bagby@gmail.com,Levi,Bagby,Email Correspondence,Data Science
2024-10-15,CV2,52.4227,-1.46467,carol.thomas@gmail.com,Carol,Thomas,1-2-1 Conversation,Finance
2024-10-23,DD5,56.47812,-2.86217,jeff.treffert@gmail.com,Jeff,Treffert,Email Correspondence,Finance
2024-09-17,WS12,52.70623,-1.99852,phil.jones@gmail.com,Phil,Jones,Workshop,Finance
2024-10-27,TN15,51.29951,0.26953,gwendolyn.ballesteros@gmail.com,Gwendolyn,Ballesteros,1-2-1 Conversation,B2B Marketing
2024-05-11,PA26,56.25758,-4.9369,jenny.adams@gmail.com,Jenny,Adams,Webinar,Data Science
2024-07-18,L12,53.43467,-2.89421,mark.arthur@gmail.com,Mark,Arthur,Networking Event,Healthcare
2024-01-12,LL37,52.66546,-4.0823,jeffrey.ruiz@gmail.com,Jeffrey,Ruiz,Webinar,Finance
2024-02-17,WD7,51.68611,-0.30876,oscar.birch@gmail.com,Oscar,Birch,Email Correspondence,Finance
2024-07-29,BT40,54.84659,-5.82146,amanda.gonzales@gmail.com,Amanda,Gonzales,Webinar,B2B Marketing
2024-11-17,B74,52.58297,-1.8583,teri.sanchez@gmail.com,Teri,Sanchez,Email Correspondence,Data Science
2024-02-13,KA6,55.41582,-4.50427,martha.gonzalez@gmail.com,Martha,Gonzalez,Networking Event,Data Science
2024-03-02,WA15,53.38364,-2.32478,bryan.britt@gmail.com,Bryan,Britt,Workshop,Software Engineering
2024-11-17,S26,53.35678,-1.28624,john.harris@gmail.com,John,Harris,Workshop,Finance
2024-12-08,SW8,51.47566,-0.13077,alfred.bryant@gmail.com,Alfred,Bryant,Webinar,Software Engineering
2024-01-06,CM22,51.86164,0.22218,kathy.dorsch@gmail.com,Kathy,Dorsch,Workshop,Data Science
2024-05-12,IG4,51.57688,0.05525,deborah.patton@gmail.com,Deborah,Patton,Email Correspondence,B2B Marketing
2024-04-16,NW2,51.55797,-0.21829,frances.lagnese@gmail.com,Frances,Lagnese,Webinar,B2B Marketing
2024-03-16,S40,53.23356,-1.44562,polly.bechtel@gmail.com,Polly,Bechtel,Webinar,Software Engineering
2024-08-03,EH49,55.97656,-3.59785,lillian.regalado@gmail.com,Lillian,Regalado,Email Correspondence,B2B Marketing
2024-04-27,G11,55.87356,-4.31142,jeffery.hensley@gmail.com,Jeffery,Hensley,1-2-1 Conversation,Software Engineering
2024-11-21,TS4,54.55551,-1.22217,mark.schafer@gmail.com,Mark,Schafer,Networking Event,Education
2024-10-31,NN15,52.38446,-0.70542,david.middleton@gmail.com,David,Middleton,1-2-1 Conversation,B2B Marketing
2024-11-25,PE24,53.16561,0.26804,mathew.blalock@gmail.com,Mathew,Blalock,Networking Event,Finance
2024-12-27,GL5,51.73855,-2.2187,richard.heard@gmail.com,Richard,Heard,Email Correspondence,Software Engineering
2024-12-20,PA13,55.89235,-4.62927,guadalupe.steely@gmail.com,Guadalupe,Steely,Webinar,Finance
2024-12-26,TA2,51.03303,-3.10109,john.swanson@gmail.com,John,Swanson,Webinar,Finance
2024-01-16,SN8,51.40741,-1.6851,david.maly@gmail.com,David,Maly,1-2-1 Conversation,Finance
2024-06-25,TS11,54.58734,-1.02501,essie.nelson@gmail.com,Essie,Nelson,Webinar,Education
2024-08-30,OX8,51.78964,-1.4548,daniel.ruiz@gmail.com,Daniel,Ruiz,1-2-1 Conversation,Healthcare
2024-12-08,NE45,54.97683,-2.01563,richard.maxwell@gmail.com,Richard,Maxwell,Webinar,Education
2024-12-23,HR6,52.23258,-2.77028,amanda.ortiz@gmail.com,Amanda,Ortiz,Webinar,Healthcare
2024-04-08,IM5,54.19316,-4.7065,donald.haun@gmail.com,Donald,Haun,Workshop,B2B Marketing
2024-05-27,TR8,50.39869,-5.03689,donald.hernandez@gmail.com,Donald,Hernandez,Webinar,B2B Marketing
2024-11-24,RG22,51.24986,-1.12159,john.robinson@gmail.com,John,Robinson,Email Correspondence,Education
2024-06-06,TR9,50.41387,-4.93648,anna.able@gmail.com,Anna,Able,Networking Event,Software Engineering
2024-05-10,NE71,55.55558,-2.04439,jeanie.ruiz@gmail.com,Jeanie,Ruiz,Networking Event,Data Science
2024-10-26,B38,52.39962,-1.93385,carey.cilley@gmail.com,Carey,Cilley,Workshop,Software Engineering
2024-09-10,PA11,55.85649,-4.5821,antony.quick@gmail.com,Antony,Quick,1-2-1 Conversation,Finance
2024-03-02,CF38,51.56034,-3.33164,daren.fox@gmail.com,Daren,Fox,Webinar,Education
2024-09-13,CV23,52.36165,-1.30826,mirtha.sansoucy@gmail.com,Mirtha,Sansoucy,1-2-1 Conversation,Healthcare
2024-05-03,CM23,51.87178,0.16021,doris.johnson@gmail.com,Doris,Johnson,Email Correspondence,Software Engineering
2024-05-11,G66,55.94024,-4.15364,jan.morse@gmail.com,Jan,Morse,Webinar,Finance
2024-10-27,CV33,52.25735,-1.48424,ruth.randolph@gmail.com,Ruth,Randolph,Networking Event,Software Engineering
2024-03-28,ME4,51.3805,0.53081,lois.wolfe@gmail.com,Lois,Wolfe,Webinar,Software Engineering
2024-02-09,DL16,54.69848,-1.60429,karen.dunagan@gmail.com,Karen,Dunagan,1-2-1 Conversation,Education
2024-05-03,LE19,52.57718,-1.21047,curtis.garcia@gmail.com,Curtis,Garcia,1-2-1 Conversation,Education
2024-05-21,BT57,55.2014,-6.51755,danica.gorman@gmail.com,Danica,Gorman,Webinar,Finance
2024-11-10,EH42,55.99389,-2.52428,benjamin.good@gmail.com,Benjamin,Good,1-2-1 Conversation,Data Science
2024-02-22,NE33,54.99077,-1.42792,dennis.tinsley@gmail.com,Dennis,Tinsley,Workshop,Data Science
2024-11-15,BS41,51.42221,-2.65158,magdalene.rowe@gmail.com,Magdalene,Rowe,Email Correspondence,Education
2024-04-25,CO6,51.92419,0.78968,dianne.west@gmail.com,Dianne,West,Workshop,Data Science
2024-09-26,PL13,50.35715,-4.47456,sharon.whaley@gmail.com,Sharon,Whaley,Webinar,Finance
2024-09-06,LS18,53.8402,-1.6413,jerry.wareham@gmail.com,Jerry,Wareham,Webinar,B2B Marketing
2024-06-25,DE11,52.77372,-1.55377,kathleen.tyler@gmail.com,Kathleen,Tyler,1-2-1 Conversation,Education
2024-01-12,TF1,52.70246,-2.50323,marion.maxfield@gmail.com,Marion,Maxfield,Email Correspondence,Education
2024-12-14,BH21,50.81248,-1.97303,ernest.schumacher@gmail.com,Ernest,Schumacher,Email Correspondence,Finance
2024-12-16,BA7,51.08833,-2.51835,roberto.collins@gmail.com,Roberto,Collins,1-2-1 Conversation,Healthcare
2024-02-12,IP23,52.30615,1.12472,esther.augeri@gmail.com,Esther,Augeri,Networking Event,Education
2024-08-11,BD15,53.80917,-1.83597,thomas.mcfadden@gmail.com,Thomas,Mcfadden,Webinar,B2B Marketing
2024-08-31,PO14,50.83685,-1.21884,jessie.miller@gmail.com,Jessie,Miller,Webinar,Data Science
2024-07-31,RM12,51.55251,0.20852,ervin.hicks@gmail.com,Ervin,Hicks,Email Correspondence,Education
2024-03-30,SE9,51.44465,0.05651,eileen.hatten@gmail.com,Eileen,Hatten,Email Correspondence,Finance
2024-09-05,HS6,57.6008,-7.29943,john.everett@gmail.com,John,Everett,1-2-1 Conversation,Healthcare
2024-06-16,L13,53.4174,-2.91943,kyle.johnson@gmail.com,Kyle,Johnson,Workshop,Software Engineering
2024-10-06,KT14,51.33869,-0.48526,christopher.sherman@gmail.com,Christopher,Sherman,1-2-1 Conversation,B2B Marketing
2024-01-23,B25,52.46513,-1.8204,tommy.roberts@gmail.com,Tommy,Roberts,Workshop,Software Engineering
2024-04-11,PL19,50.55602,-4.15454,jimmy.madigan@gmail.com,Jimmy,Madigan,1-2-1 Conversation,Education
2024-01-16,LE17,52.4669,-1.17706,richard.donohue@gmail.com,Richard,Donohue,Webinar,Data Science
2024-06-21,PH22,57.19857,-3.80587,george.pardue@gmail.com,George,Pardue,1-2-1 Conversation,Software Engineering
2024-02-04,E3,51.52789,-0.02482,wesley.francis@gmail.com,Wesley,Francis,Webinar,Software Engineering
2024-05-22,NR10,52.73642,1.24582,steven.butler@gmail.com,Steven,Butler,1-2-1 Conversation,Education
2024-11-19,CM20,51.77476,0.10483,ellen.koenig@gmail.com,Ellen,Koenig,Webinar,Finance
2024-08-01,GU51,51.28338,-0.83987,peter.goff@gmail.com,Peter,Goff,Webinar,Software Engineering
2024-06-27,CT8,51.37996,1.3415,danny.hyde@gmail.com,Danny,Hyde,1-2-1 Conversation,Software Engineering
2024-06-06,SG7,52.00335,-0.17443,james.preston@gmail.com,James,Preston,Email Correspondence,B2B Marketing
2024-03-19,NR34,52.43791,1.58442,alice.bibbs@gmail.com,Alice,Bibbs,Networking Event,Software Engineering
2024-08-10,IV10,57.58536,-4.12616,michael.riesner@gmail.com,Michael,Riesner,1-2-1 Conversation,Finance
2024-11-04,L31,53.51346,-2.93659,kenneth.langford@gmail.com,Kenneth,Langford,Workshop,Data Science
2024-02-01,SG8,52.06369,-0.01293,charles.evans@gmail.com,Charles,Evans,Webinar,Data Science
2024-05-24,BA8,50.99883,-2.41046,molly.badger@gmail.com,Molly,Badger,Email Correspondence,B2B Marketing
2024-07-21,TA14,50.94588,-2.75024,ashley.jenness@gmail.com,Ashley,Jenness,Email Correspondence,Healthcare
2024-08-01,EC4R,51.51191,-0.09181,brett.dowell@gmail.com,Brett,Dowell,Webinar,Education
2024-09-20,TQ4,50.42326,-3.56982,nancy.preusser@gmail.com,Nancy,Preusser,1-2-1 Conversation,Data Science
2024-02-20,BA10,51.11291,-2.44576,loretta.cook@gmail.com,Loretta,Cook,Workshop,Education
2024-05-06,WV5,52.53342,-2.20936,carolyn.hall@gmail.com,Carolyn,Hall,Email Correspondence,Education
2024-11-17,GU2,51.24468,-0.59152,eddie.browne@gmail.com,Eddie,Browne,Workshop,Finance
2024-03-29,WF5,53.67998,-1.57605,june.finch@gmail.com,June,Finch,Networking Event,Finance
2024-06-17,NR22,52.89366,0.86793,elaine.ray@gmail.com,Elaine,Ray,Webinar,B2B Marketing
2024-10-07,M41,53.45095,-2.36294,louis.ropp@gmail.com,Louis,Ropp,Workshop,Software Engineering
2024-01-19,LL20,52.95949,-3.15982,doris.brown@gmail.com,Doris,Brown,1-2-1 Conversation,Software Engineering
2024-06-29,EX13,50.78655,-3.00733,brian.hill@gmail.com,Brian,Hill,Email Correspondence,Software Engineering
2024-12-17,NE69,55.60468,-1.71586,william.fawcett@gmail.com,William,Fawcett,Networking Event,Data Science
2024-07-23,DG1,55.07353,-3.58045,daniel.knox@gmail.com,Daniel,Knox,Networking Event,B2B Marketing
2024-01-01,G42,55.83234,-4.25627,richard.kendall@gmail.com,Richard,Kendall,Webinar,Finance
2024-07-14,CR2,51.34983,-0.07988,virginia.dunn@gmail.com,Virginia,Dunn,Webinar,Finance
2024-06-20,SK17,53.24378,-1.87861,amy.diaz@gmail.com,Amy,Diaz,Webinar,Data Science
2024-02-14,HD1,53.64639,-1.78819,isiah.crews@gmail.com,Isiah,Crews,Email Correspondence,Software Engineering
2024-01-02,DN37,53.54033,-0.13461,willis.robles@gmail.com,Willis,Robles,Networking Event,Finance
2024-05-05,WA10,53.45362,-2.75454,lewis.ahearn@gmail.com,Lewis,Ahearn,Networking Event,Education
2024-04-14,KT8,51.40089,-0.36243,joshua.leeper@gmail.com,Joshua,Leeper,Networking Event,Finance
2024-08-12,CF38,51.56034,-3.33164,zita.danahy@gmail.com,Zita,Danahy,1-2-1 Conversation,Healthcare
2024-08-28,PO35,50.68657,-1.08401,velma.martin@gmail.com,Velma,Martin,Webinar,B2B Marketing
2024-07-05,EH55,55.84748,-3.57178,brenda.reeser@gmail.com,Brenda,Reeser,Webinar,Data Science
2024-01-09,KA28,55.75447,-4.92287,kevin.obrien@gmail.com,Kevin,Obrien,Networking Event,B2B Marketing
2024-02-07,M19,53.43696,-2.19421,joan.lechner@gmail.com,Joan,Lechner,Email Correspondence,Education
2024-06-09,N22,51.59944,-0.1098,james.vanover@gmail.com,James,Vanover,Workshop,Education
2024-07-15,E16,51.51083,0.02633,annie.savage@gmail.com,Annie,Savage,Workshop,Education
2024-11-16,GY5,49.4826,-2.58101,kent.hampton@gmail.com,Kent,Hampton,Networking Event,Healthcare
2024-03-02,NE11,54.94123,-1.63157,norma.brown@gmail.com,Norma,Brown,Workshop,Healthcare
2024-06-11,IV63,57.32228,-4.50465,antonio.mordino@gmail.com,Antonio,Mordino,Networking Event,Healthcare
